date, pm25, pm10, o3, no2, so2, co
2015/4/24, , 83, 32, 36, 2, 20
2015/5/13, , 60, 17, 15, 7, 12
2015/5/14, , 111, 24, 25, 4, 6
2015/5/15, , 150, 23, 25, 4, 5
2015/5/16, , 74, 36, 14, 3, 2
2015/5/17, , 42, 23, 7, 2, 5
2015/5/18, , 59, 29, 18, 3, 7
2015/5/19, , 71, 18, 13, 4, 6
2015/2/2, , 134, 25, 17, 4, 9
2015/2/3, , 148, 19, 12, 3, 8
2015/2/9, , 146, 11, 25, 22, 9
2015/2/11, , 140, 19, 31, 9, 9
2015/2/12, , 173, 30, 33, 9, 11
2015/2/13, , 208, 31, 34, 8, 15
2015/2/14, , 303, 27, 33, 13, 16
2015/2/15, , 275, 30, 36, 28, 32
2015/2/16, , 98, 24, 11, 4, 9
2015/2/17, , 100, 39, 14, 3, 11
2015/2/18, , 115, 28, 25, 7, 15
2015/2/19, , 96, 24, 9, 4, 8
2015/2/20, , 79, 20, 11, 8, 20
2015/2/21, , 79, 26, 18, 14, 9
2015/2/22, , 48, 22, 12, 4, 6
2015/2/23, , 87, 34, 31, 9, 13
2015/2/24, , 108, 22, 22, 8, 14
2015/2/25, , 80, 20, 12, 12, 22
2015/2/26, , 63, 35, 27, 10, 6
2015/2/27, , 64, 31, 34, 17, 22
2015/2/28, , 109, 29, 43, 21, 14
2015/3/1, , 47, 13, 7, 2, 4
2015/3/2, , 66, 32, 11, 2, 3
2015/3/3, , 83, 20, 25, 7, 7
2015/3/4, , 142, 24, 26, 5, 7
2015/3/5, , 245, 7, 54, 14, 13
2015/3/6, , 125, 7, 19, 8, 9
2015/3/7, , 75, 16, 20, 3, 5
2015/3/8, , 52, 19, 15, 2, 4
2015/3/9, , 121, 26, 19, 2, 4
2015/3/10, , 126, 33, 21, 2, 5
2015/3/11, , 136, 18, 31, 2, 8
2015/3/12, , 95, 39, 24, 3, 9
2015/3/15, , 41, 11, 12, 1, 1
2015/3/18, , 56, 22, 8, 4, 7
2015/3/19, , 29, 37, 11, 3, 4
2015/3/20, , 24, 36, 11, 2, 4
2015/3/23, , 33, , 11, 3, 7
2015/3/24, , 53, 22, 43, 6, 11
2015/3/25, , 91, 55, 38, 18, 14
2015/3/26, , 94, 43, 43, 12, 17
2015/3/27, , 42, 35, 25, 7, 7
2015/3/28, , 64, 37, 36, 11, 26
2015/3/29, , 70, 19, 16, 4, 8
2015/3/30, , 46, 23, 8, 1, 6
2015/3/31, , 40, 16, 12, 2, 6
2014/10/1, , 106, 16, 14, 4, 7
2014/10/2, , 144, 35, 16, 4, 9
2014/10/3, , 188, 72, 10, 3, 8
2014/10/4, , 177, 23, 11, 3, 8
2014/10/5, , 170, 22, 16, 5, 9
2014/10/6, , 177, 18, 10, 2, 8
2014/10/7, , 160, 18, 10, 3, 7
2014/10/8, , 143, 26, 19, 5, 6
2014/10/9, , 139, 19, 24, 4, 9
2014/10/10, , 126, 45, 34, 9, 14
2014/10/11, , 187, 20, 34, 8, 15
2014/10/12, , 233, 13, 9, 2, 6
2014/10/13, , 119, 7, 9, 2, 6
2014/10/14, , 68, 12, 10, 2, 6
2014/10/15, , 66, 32, 28, 5, 12
2014/10/16, , 157, 17, 41, 5, 11
2014/10/17, , 81, 19, 46, 7, 15
2014/10/18, , 98, 18, 42, 4, 14
2014/10/19, , 88, 15, 39, 6, 13
2014/10/20, , 98, 23, 44, 8, 18
2014/10/21, , 112, 24, 32, 14, 31
2014/10/22, , 123, 36, 14, 7, 9
2014/10/23, , 106, 20, 10, 4, 24
2014/10/24, , 138, 15, 16, 4, 10
2014/10/25, , 112, 28, 10, 2, 8
2014/10/26, , 79, 18, 28, 3, 14
2014/10/27, , 95, 5, 38, 18, 19
2014/10/28, , 236, 11, 37, 5, 12
2014/10/29, , 124, 16, 43, 9, 20
2014/10/30, , 142, 11, 51, 13, 18
2014/10/31, , 164, 16, 38, 10, 23
2014/11/1, , 188, 12, 30, 5, 9
2014/11/2, , 242, 14, 30, 5, 9
2014/11/3, , 230, 18, 35, 7, 10
2014/11/4, , 230, 15, 38, 5, 11
2014/11/5, , 300, 13, 29, 4, 10
2014/11/6, , 293, 17, 44, 6, 19
2014/11/7, , 361, 17, 44, 8, 17
2014/11/8, , 362, 8, 32, 7, 13
2014/11/9, , 314, 15, 38, 6, 13
2014/11/10, , 372, 14, 48, 7, 30
2014/11/11, , 334, 22, 44, 8, 15
2014/11/12, , 387, 21, 43, 9, 13
2014/11/13, , 372, 23, 44, 7, 11
2014/11/14, , 226, 17, 34, 6, 10
2014/11/15, , 142, 27, 35, 8, 10
2014/11/16, , 86, 25, 40, 8, 11
2014/11/17, , 113, 28, 52, 12, 15
2014/11/18, , 162, 24, 60, 11, 20
2014/11/19, , 167, 29, 54, 9, 14
2014/11/20, , 128, 21, 55, 8, 29
2014/11/21, , 125, 17, 60, 10, 22
2014/11/22, , 142, 24, 54, 13, 29
2014/11/23, , 129, 22, 39, 5, 26
2014/11/24, , 95, 18, 43, 6, 9
2014/11/25, , 83, 11, 39, 5, 9
2014/11/26, , 103, 15, 47, 10, 16
2014/11/27, , 151, 15, 46, 6, 23
2014/11/28, , 174, 19, 55, 10, 23
2014/11/29, , 171, 3, 60, 12, 14
2014/11/30, , 137, , , , 
2014/12/2, , 219, 15, 31, 4, 8
2014/12/3, , 142, 14, 37, 5, 11
2014/12/4, , 224, 13, 46, 9, 15
2014/12/5, , 260, 12, 41, 5, 10
2014/12/6, , 230, 12, 29, 4, 7
2014/12/7, , 166, 12, 43, 8, 14
2014/12/8, , 231, 20, 54, 17, 42
2014/12/9, , 410, 14, 46, 15, 14
2014/12/10, , 258, 19, 46, 9, 12
2014/12/11, , 299, 14, 63, 13, 19
2014/12/12, , 318, 9, 23, 4, 10
2014/12/13, , 214, 5, 17, , 7
2014/12/14, , 64, 6, 31, 3, 8
2014/12/15, , 84, 13, 31, 6, 20
2014/12/16, , 111, 13, 26, 2, 8
2014/12/17, , 100, 7, 29, 3, 9
2014/12/18, , 158, , , , 
2014/7/1, , 115, , , , 
2014/7/3, , 93, , , , 
2014/7/16, , 20, , , , 
2014/7/19, , 57, , , , 
2014/7/25, , 25, 19, 8, 2, 8
2014/7/26, , 28, , , , 
2014/7/28, , 37, , 3, 1, 7
2014/7/29, , 27, 3, 5, 4, 2
2014/7/30, , 36, , , , 
2014/8/2, , 62, 14, 2, 1, 5
2014/8/3, , 49, 2, 3, 1, 5
2014/8/4, , 880, 10, 7, 1, 7
2014/8/5, , 51, 10, 5, 1, 10
2014/8/6, , 103, 8, 2, 1, 8
2014/8/7, , 62, 6, 1, 1, 6
2014/8/8, , 68, , 19, 1, 37
2014/8/9, , 359, , , , 
2014/9/16, , 55, 14, 17, 3, 10
2014/9/17, , 39, 16, 17, 4, 8
2014/9/18, , 41, 19, 20, 5, 9
2014/9/19, , 38, 19, 23, 4, 9
2014/9/20, , 47, 35, 11, 2, 6
2014/9/21, , 41, 17, 14, 6, 18
2014/9/22, , 29, 12, 14, 3, 7
2014/9/23, , 29, 13, 16, 4, 6
2014/9/24, , 31, 15, 15, 4, 7
2014/9/25, , 32, 11, 19, 5, 7
2014/9/26, , 42, 31, 16, 4, 7
2014/9/27, , 31, 10, 15, 5, 6
2014/9/28, , 32, 13, 16, 4, 7
2014/9/29, , 38, 13, 16, 6, 8
2014/9/30, , 39, 19, 11, 3, 6
2014/5/6, , 112, , , , 
2018/8/10, , , 5, 14, 1, 
2018/8/15, , , 5, 17, 2, 
2018/9/29, , , 26, 18, 1, 
2018/5/27, , , 56, 42, 12, 
2018/5/28, , , 42, 36, 10, 
2018/6/25, , , 16, 22, 7, 
2017/10/2, , , 49, 19, 4, 10
2017/10/8, , , 15, 19, 7, 16
2017/10/15, , , 73, 29, 42, 33
2017/11/22, , , 1, 36, 10, 11
2017/12/18, , , 23, 41, 19, 15
2017/8/13, , , 8, 7, 2, 11
2017/8/18, , , 5, 4, 2, 10
2017/8/20, , , 7, 3, 1, 4
2017/9/10, , , 28, 13, 5, 13
2017/9/13, , , 34, 16, 6, 6
2017/9/15, , , 4, 13, 2, 15
2017/9/24, , , 39, 13, 1, 11
2017/5/27, , , 27, 13, 2, 12
2017/6/28, , , 11, 7, 1, 10
2017/1/28, , , 17, 17, 2, 51
2017/1/29, , , 25, 22, 2, 33
2016/10/8, , , 33, 12, 3, 26
2016/11/7, , , 39, 26, 5, 
2016/7/24, , , 37, 11, 2, 9
2016/4/7, , , 28, 11, 14, 8
2016/4/23, , , 7, 24, 2, 5
2016/1/3, , , 15, 44, , 
2016/1/10, , , 3, 32, , 
2016/1/13, , , 5, 42, , 
2016/1/21, , , 8, 35, , 
2016/3/16, , , 23, 12, 14, 9
2015/12/6, , , 2, 26, 6, 
2015/12/23, , , 7, 33, , 
2015/9/14, , , 14, 13, 3, 
2015/4/25, , , 27, 18, 6, 13
2015/4/26, , , 24, 2, , 16
2015/4/28, , , 25, 10, 1, 6
2015/4/29, , , 45, 10, 25, 39
2015/4/30, , , 32, 10, 4, 19
2015/5/1, , , 25, 12, 4, 25
2015/5/2, , , 44, 23, 16, 70
2015/5/3, , , 101, 36, 11, 
2015/5/4, , , 60, 40, 6, 136
2015/5/5, , , 32, 50, 8, 1
2015/5/6, , , 24, 41, 8, 103
2015/5/7, , , 28, 24, 7, 229
2015/5/8, , , 20, 22, 7, 
2015/5/9, , , 12, 28, 8, 
2015/5/10, , , 20, 32, 5, 
2015/5/11, , , 22, 25, 5, 
2015/5/12, , , 23, 14, 7, 
2015/1/13, , , 2, 22, 2, 22
2014/12/1, , , 17, 35, 2, 10
2014/6/30, , , 12, 5, 1, 3
2014/7/2, , , 2, 10, 4, 10
2014/7/15, , , 2, 5, , 4
2014/7/18, , , 4, 11, , 8
2014/7/24, , , , 41, , 5
2014/7/27, , , 4, 2, 1, 4
2014/8/1, , , 5, 6, 1, 6
2014/9/15, , , 8, 28, 5, 16
2014/5/5, , , 2, 22, 6, 4
2014/2/12, , , , , , 
