date, pm25, pm10, o3, no2, so2, co
2018/5/14, 316, , 30, 41, 2, 
2018/5/15, 227, , 37, 28, 5, 
2018/5/16, 161, , 64, 34, 17, 
2018/5/17, 213, , 41, 31, 9, 
2018/5/18, 177, , 50, 32, 9, 
2018/5/19, 180, , 49, 44, 13, 
2018/5/20, 200, , 59, 48, 14, 
2018/5/21, 222, , 53, 83, 16, 
2018/5/22, 214, , 53, 43, 13, 
2018/5/23, 183, , 54, 31, 14, 
2018/5/24, 188, , 44, 26, 12, 
2018/5/25, 291, , 63, 50, 16, 
2018/5/26, 320, , 33, 59, 20, 
2018/5/29, 146, , 27, 24, 3, 
2018/5/30, 147, , 25, 19, 3, 
2018/5/31, 156, , 12, 116, 11, 
2018/6/1, 150, , 30, 65, 2, 
2018/6/2, 182, , 18, 25, , 
2018/6/3, 142, , 43, 19, 1, 
2018/6/4, 153, , 45, 14, 1, 
2018/6/5, 141, , 18, 14, 1, 
2018/6/6, 149, , 36, 13, 2, 
2018/6/7, 160, , 24, 11, 2, 
2018/6/8, 199, , 36, 10, 1, 
2018/6/9, 225, , 51, 11, 2, 
2018/6/10, 154, , 34, 13, 1, 
2018/6/11, 148, , 39, 14, 3, 
2018/6/12, 169, , 10, 15, 1, 
2018/6/13, 297, , 19, 12, 1, 
2018/6/14, 203, , 21, 11, 1, 
2018/6/15, 197, , 16, 9, 1, 
2018/6/16, 171, , 22, 10, 1, 
2018/6/17, 165, , 35, 12, 3, 
2018/6/18, 140, , 46, 14, 3, 
2018/6/19, 177, , 42, 16, 3, 
2018/6/20, 149, , 53, 15, 4, 
2018/6/21, 160, , 55, 23, 12, 
2018/6/22, 204, , 42, 96, 5, 
2018/6/23, 207, , 36, 25, 3, 
2018/6/24, 181, , , , , 
2018/6/26, 141, , 41, 17, 1, 
2018/6/27, 245, , 14, 13, 1, 
2018/6/28, 254, , 28, 12, 2, 
2018/6/29, 108, , 36, 11, 1, 
2018/6/30, 119, , 19, 11, 1, 
2018/1/1, 408, , 21, 40, 3, 24
2018/1/2, 298, , 2, 36, 4, 19
2018/1/3, 233, , 1, 31, 3, 17
2018/1/4, 260, , 1, 29, 3, 15
2018/1/5, 255, , 4, 36, 7, 35
2018/1/6, 290, , 1, 32, 2, 14
2018/1/7, 200, , 6, 32, 3, 12
2018/1/8, 204, , 2, 37, 8, 25
2018/1/9, 256, , 32, 34, 3, 16
2018/1/10, 214, , 33, 30, 3, 9
2018/1/11, 191, , 28, 32, 6, 26
2018/1/12, 209, , 42, 32, 9, 21
2018/1/13, 271, , 29, 34, 8, 18
2018/1/14, 235, , 34, 38, 7, 13
2018/1/15, 214, , 48, 38, 5, 30
2018/1/16, 191, , 19, 34, 2, 18
2018/1/17, 316, , 23, 36, 12, 34
2018/1/18, 355, , 33, 44, 14, 23
2018/1/19, 295, , 34, 38, 5, 27
2018/1/20, 227, , 41, 37, 6, 16
2018/1/21, 224, , 33, 37, 8, 23
2018/1/22, 288, , 16, 34, 3, 14
2018/1/23, 230, , 22, 33, 2, 28
2018/1/24, 209, , 20, 28, 2, 10
2018/1/25, 190, , 24, 33, 2, 16
2018/1/26, 228, , 14, 41, 3, 
2018/1/27, 315, , 23, 32, 5, 
2018/1/28, 235, , 38, 29, 6, 14
2018/1/29, 248, , 31, 29, 4, 7
2018/1/30, 179, , 28, 28, 6, 8
2018/1/31, 199, , 27, 31, 7, 12
2018/2/1, 180, , 31, 29, 7, 31
2018/2/2, 207, , 61, 28, 9, 
2018/2/3, 177, , 36, 28, 5, 
2018/2/4, 189, , 47, 32, 8, 
2018/2/5, 207, , 24, 35, 6, 
2018/2/6, 209, , 36, 31, 5, 
2018/2/7, 189, , 45, 38, 10, 
2018/2/8, 234, , 35, 42, 19, 
2018/2/9, 251, , 39, 46, 15, 
2018/2/10, 274, , 19, 32, 18, 
2018/2/11, 252, , 15, 21, 2, 
2018/2/12, 161, , 24, 30, 7, 
2018/2/13, 285, , 24, 24, 2, 
2018/2/14, 156, , 27, 25, 5, 
2018/2/15, 170, , 38, 28, 5, 
2018/2/16, 179, , 30, 29, 5, 
2018/2/17, 175, , 65, 28, 5, 
2018/2/18, 176, , 56, 32, 9, 
2018/2/19, 201, , 38, 33, 11, 
2018/2/20, 247, , 36, 34, 17, 
2018/2/21, 276, , 30, 39, 8, 
2018/2/22, 228, , 34, 32, 12, 
2018/2/23, 271, , 25, 25, 7, 
2018/2/24, 240, , 28, 22, 7, 
2018/2/25, 184, , 25, 20, 10, 
2018/2/26, 143, , 28, 34, 4, 
2018/2/27, 141, , 67, 29, 9, 
2018/2/28, 196, , 85, 30, 12, 
2018/3/1, 218, , 32, 21, 7, 
2018/3/2, 202, , 39, 20, 7, 
2018/3/3, 169, , 23, 16, 6, 
2018/3/4, 153, , 39, 20, 5, 
2018/3/5, 144, , 28, 24, 3, 
2018/3/6, 133, , 45, 29, 4, 
2018/3/7, 145, , 51, 28, 8, 
2018/3/8, 179, , 37, 25, 13, 
2018/3/9, 179, , 50, 23, 7, 
2018/3/10, 132, , 33, 20, 7, 
2018/3/11, 149, , 33, 25, 16, 
2018/3/12, 157, , 30, 25, 11, 
2018/3/13, 179, , 44, 22, 12, 
2018/3/14, 203, , 35, 22, 8, 
2018/3/15, 167, , 38, 23, 8, 
2018/3/16, 163, , 35, 25, 7, 
2018/3/17, 134, , 36, 25, 7, 
2018/3/18, 140, , 35, 26, 6, 
2018/3/19, 190, , 33, 28, 10, 
2018/3/20, 164, , 33, 24, 11, 
2018/3/21, 175, , 37, 24, 7, 
2018/3/22, 160, , 36, 24, 5, 
2018/3/23, 130, , 42, 28, 12, 
2018/3/24, 146, , 40, 23, 4, 
2018/3/25, 144, , 44, 26, 7, 
2018/3/26, 156, , 39, 25, 8, 
2018/3/27, 157, , 50, 25, 11, 
2018/3/28, 187, , 47, 27, 7, 
2018/3/29, 149, , 40, 27, 7, 
2018/3/30, 146, , 39, 26, 5, 
2018/3/31, 155, , , 19, 3, 
2017/10/3, 173, , 50, 17, 7, 14
2017/10/4, 174, , 28, 19, 15, 14
2017/10/5, 175, , 42, 18, 21, 11
2017/10/6, 215, , 52, 25, 8, 11
2017/10/7, 167, , , , , 
2017/10/9, 167, , 46, 18, 30, 41
2017/10/10, 170, , 21, 13, 11, 34
2017/10/11, 178, , 54, 17, 15, 32
2017/10/12, 192, , 47, 20, 10, 14
2017/10/13, 187, , 53, 20, 13, 17
2017/10/14, 189, , , , , 
2017/10/16, 215, , 62, 28, 16, 14
2017/10/17, 187, , 56, 26, 19, 16
