date, pm25, pm10, no2, so2, co
2018/10/1, 107, , 16, 8, 5
2018/10/2, 132, , 21, 10, 6
2018/10/3, 136, , 22, 10, 7
2018/10/4, 166, , 20, 13, 10
2018/10/5, 165, , 18, 9, 5
2018/10/6, 113, , 17, 7, 22
2018/10/7, 144, , 20, 9, 19
2018/10/8, 167, , 20, 11, 19
2018/10/9, 138, , 20, 10, 7
2018/10/10, 146, , 29, 7, 6
2018/10/11, 114, , 17, 3, 6
2018/10/12, 123, , 24, 5, 8
2018/10/13, 166, , 23, 6, 6
2018/10/14, 128, , 26, 7, 8
2018/10/15, 155, , 33, 9, 11
2018/10/16, 157, , 26, 6, 11
2018/10/17, 135, , 30, 10, 12
2018/10/18, 162, , 29, 12, 11
2018/10/19, 150, , 27, 13, 7
2018/10/20, 162, , 26, 8, 7
2018/10/21, 136, , 30, 8, 7
2018/10/22, 131, , 37, 9, 9
2018/10/23, 133, , 36, 13, 12
2018/10/24, 164, , 22, 12, 11
2018/10/25, 149, , 24, 13, 14
2018/10/26, 172, , 31, 15, 16
2018/10/27, 183, , 22, 9, 3
2018/10/28, 174, , 26, 16, 7
2018/10/29, 173, , 46, 16, 13
2018/10/30, 224, , 39, 17, 10
2018/10/31, 237, , 31, 16, 9
2018/11/1, 230, , 30, 11, 9
2018/11/2, 212, , 22, 5, 7
2018/11/3, 184, , 10, 4, 6
2018/11/4, 127, , 18, 10, 9
2018/11/5, 316, , 20, 11, 6
2018/11/6, 205, , 22, 14, 11
2018/11/7, 200, , 33, 21, 9
2018/11/8, 415, , 31, 17, 17
2018/11/9, 293, , 42, 10, 21
2018/11/10, 271, , 33, 7, 17
2018/11/11, 243, , 29, 9, 17
2018/11/12, 245, , 40, 20, 20
2018/11/13, 267, , 29, 13, 12
2018/11/14, 193, , 20, 9, 7
2018/11/15, 158, , 19, 5, 8
2018/11/16, 167, , 25, 6, 9
2018/11/17, 176, , 35, 7, 9
2018/11/18, 209, , 27, 6, 2
2018/11/19, 206, , 34, 7, 14
2018/11/20, 228, , 39, 6, 8
2018/11/21, 209, , 33, 6, 11
2018/11/22, 187, , 33, 7, 14
2018/11/23, 199, , 23, 7, 8
2018/11/24, 166, , 32, 10, 10
2018/11/25, 178, , 31, 12, 16
2018/11/26, 188, , 58, 24, 29
2018/11/27, 230, , 45, 19, 15
2018/11/28, 234, , 30, 8, 
2018/11/29, 182, , 37, 9, 
2018/11/30, 215, , , , 
2018/7/1, 142, , 15, 2, 3
2018/7/2, 137, , 24, 4, 5
2018/7/3, 140, , 17, 3, 2
2018/7/4, 147, , 17, 4, 5
2018/7/5, 150, , 16, 5, 5
2018/7/6, 167, , 17, 4, 3
2018/7/7, 165, , 33, 3, 18
2018/7/8, 158, , 17, 5, 6
2018/7/9, 162, , 14, 9, 3
2018/7/10, 147, , 18, 11, 6
2018/7/11, 139, , 25, 14, 4
2018/7/12, 155, , 18, 10, 5
2018/7/13, 120, , 16, 8, 4
2018/7/14, 122, , 19, 4, 5
2018/7/15, 124, , 11, 4, 5
2018/7/16, 137, , 15, 4, 3
2018/7/17, 117, , 30, 4, 6
2018/7/18, 133, , 13, 4, 3
2018/7/19, 139, , 14, 5, 4
2018/7/20, 140, , 17, 6, 5
2018/7/21, 137, , 16, 6, 3
2018/7/22, 109, , 13, 6, 5
2018/7/23, 137, , 12, 5, 4
2018/7/24, 134, , 14, 5, 4
2018/7/25, 116, , 12, 6, 5
2018/7/26, 109, , 9, 6, 5
2018/7/27, 104, , 10, 5, 7
2018/7/28, 111, , 8, 7, 4
2018/7/29, 143, , 19, 5, 4
2018/7/30, 131, , 11, 5, 6
2018/7/31, 142, , 16, 6, 4
2018/8/1, 150, , 8, 7, 4
2018/8/2, 168, , 18, 6, 3
2018/8/3, 161, , 12, 6, 5
2018/8/4, 165, , 11, 6, 5
2018/8/5, 159, , 9, 6, 4
2018/8/6, 140, , 9, 5, 5
2018/8/7, 109, , 19, 6, 5
2018/8/8, 110, , 9, 4, 5
2018/8/9, 101, , 11, 5, 5
2018/8/10, 140, , 16, 4, 3
2018/8/11, 132, , 6, 3, 4
2018/8/12, 127, , 6, 5, 5
2018/8/13, 136, , 6, 5, 5
2018/8/14, 148, , , 2, 6
2018/8/15, 149, , 10, 3, 5
2018/8/16, 142, , 13, 4, 7
2018/8/17, 114, , 12, 4, 3
2018/8/18, 114, , 15, 5, 4
2018/8/19, 139, , 13, 7, 6
2018/8/20, 133, , 17, 4, 4
2018/8/21, 91, , 13, 4, 5
2018/8/22, 107, , 10, 3, 5
2018/8/23, 111, , 11, 3, 5
2018/8/24, 101, , 13, 9, 2
2018/8/25, 80, , , , 
2018/8/28, 102, , 31, 2, 16
2018/8/29, 112, , 7, 3, 2
2018/8/30, 100, , 11, 5, 4
2018/8/31, 110, , 11, 6, 4
2018/9/1, 120, , 8, 5, 3
2018/9/2, 217, , 9, 7, 5
2018/9/3, 372, , 10, 12, 6
2018/9/4, 102, , 11, 5, 6
2018/9/5, 124, , 14, 6, 5
2018/9/6, 115, , 12, 6, 7
2018/9/7, 172, , 9, 4, 5
2018/9/8, 119, , 20, 1, 5
2018/9/9, 86, , 11, 1, 7
2018/9/10, 103, , 9, 5, 7
2018/9/11, 88, , 9, 7, 6
2018/9/12, 105, , 9, 7, 6
2018/9/13, 97, , 9, 7, 5
2018/9/14, 97, , 11, 6, 5
2018/9/15, 94, , 10, 4, 4
2018/9/16, 119, , 10, 4, 5
2018/9/17, 131, , 10, 5, 6
2018/9/18, 134, , 38, 6, 7
2018/9/19, 115, , 13, 6, 5
2018/9/20, 130, , 10, 6, 5
2018/9/21, 114, , 8, 5, 4
2018/9/22, 85, , 10, 5, 4
2018/9/23, 94, , 9, 5, 5
2018/9/24, 95, , 12, 5, 5
2018/9/25, 62, , 16, 6, 6
2018/9/26, 62, , 12, 8, 6
2018/9/27, 106, , 19, 9, 7
2018/9/28, 158, , 26, 8, 10
2018/9/29, 178, , 10, 5, 5
2018/9/30, 96, , 15, 7, 6
2018/4/1, 156, , 25, 9, 5
2018/4/2, 165, , 26, 18, 5
2018/4/3, 158, , 29, 9, 7
2018/4/4, 167, , 29, 11, 9
2018/4/5, 187, , 22, 11, 3
2018/4/6, 170, , 17, 4, 3
2018/4/7, 112, , 15, 5, 3
2018/4/8, 124, , 20, 4, 5
2018/4/9, 134, , 21, 6, 4
2018/4/10, 154, , 15, 4, 3
2018/4/11, 148, , 19, 3, 4
2018/4/12, 145, , 26, 7, 5
2018/4/13, 162, , 28, 6, 5
2018/4/14, 147, , 34, 8, 5
2018/4/15, 168, , 33, 11, 10
2018/4/16, 188, , 25, 10, 6
2018/4/17, 179, , 21, , 4
2018/4/18, 172, , 27, 27, 6
2018/4/19, 169, , 21, 24, 3
2018/4/20, 202, , 18, 10, 4
2018/4/21, 211, , 18, 11, 11
2018/4/22, 168, , 23, 6, 7
2018/4/23, 147, , 33, 12, 9
2018/4/24, 152, , 51, 18, 12
2018/4/25, 201, , 42, 14, 11
2018/4/26, 205, , 23, 9, 5
2018/4/27, 191, , 15, 10, 4
2018/4/28, 168, , 21, 19, 6
2018/4/29, 170, , 26, 7, 5
2018/4/30, 155, , 12, 4, 3
2018/5/1, 143, , 13, 4, 7
2018/5/2, 147, , 31, 4, 2
2018/5/3, 117, , 12, 5, 3
2018/5/4, 99, , 24, 6, 4
2018/5/5, 152, , 30, 14, 2
2018/5/6, 177, , 27, 15, 3
2018/5/7, 151, , 10, 6, 3
2018/5/8, 146, , 23, 8, 3
2018/5/9, 144, , 34, 8, 2
2018/5/10, 159, , 47, 15, 5
2018/5/11, 189, , 46, 16, 4
2018/5/12, 200, , 13, 7, 5
2018/5/13, 158, , 16, 7, 3
2018/5/14, 124, , 11, 9, 9
2018/5/15, 154, , 37, 8, 11
2018/5/16, 169, , 10, 8, 6
2018/5/17, 198, , 11, 9, 5
2018/5/18, 185, , 11, 11, 11
2018/5/19, 185, , 4, 7, 6
2018/5/20, 180, , 12, 5, 7
2018/5/21, 167, , 12, 7, 10
2018/5/22, 175, , 13, 10, 16
2018/5/23, 223, , 9, 10, 8
2018/5/24, 200, , 9, 7, 9
2018/5/25, 167, , 11, 10, 7
2018/5/26, 171, , 11, 11, 9
2018/5/27, 193, , 9, 9, 9
2018/5/28, 206, , 9, 7, 9
2018/5/29, 190, , 6, 1, 4
2018/5/30, 161, , 11, 3, 6
2018/5/31, 167, , 9, 3, 7
2018/6/1, 169, , 11, 3, 6
2018/6/2, 136, , 10, 3, 6
2018/6/3, 134, , 9, 2, 8
2018/6/4, 176, , 9, 2, 5
2018/6/5, 134, , 22, 8, 8
2018/6/6, 130, , 11, 15, 6
2018/6/7, 147, , 9, 9, 6
2018/6/8, 146, , 6, 9, 6
2018/6/9, 125, , 7, 12, 14
2018/6/10, 151, , 11, 13, 8
2018/6/11, 175, , 18, 11, 7
2018/6/12, 261, , 12, 9, 8
2018/6/13, 509, , 12, 10, 8
2018/6/14, 446, , 13, 9, 4
2018/6/15, 346, , 15, 4, 4
2018/6/16, 277, , 11, 4, 6
2018/6/17, 173, , 16, 5, 7
2018/6/18, 161, , 13, 3, 5
2018/6/19, 136, , 18, 5, 6
2018/6/20, 156, , 19, 5, 6
2018/6/21, 166, , 28, 10, 7
2018/6/22, 180, , 27, 10, 13
2018/6/23, 165, , 16, 8, 5
2018/6/24, 150, , 17, 9, 5
2018/6/25, 168, , 20, 8, 3
2018/6/26, 159, , 37, 7, 8
2018/6/27, 146, , 13, 6, 4
2018/6/28, 120, , 10, 4, 6
2018/6/29, 113, , 6, 3, 4
2018/6/30, 129, , 16, 4, 3
2018/1/1, 241, , 17, 4, 9
2018/1/2, 201, , 16, 3, 9
2018/1/3, 208, , 29, 10, 11
2018/1/4, 245, , 23, 7, 13
2018/1/5, 207, , 29, 18, 16
2018/1/6, 256, , 23, 9, 11
2018/1/7, 202, , 19, 5, 10
2018/1/8, 175, , 25, 9, 11
2018/1/9, 197, , 37, 5, 6
2018/1/10, 183, , 25, 3, 7
2018/1/11, 173, , 26, 4, 9
2018/1/12, 175, , 28, 13, 15
2018/1/13, 215, , 23, 7, 10
2018/1/14, 198, , 20, 5, 5
2018/1/15, 179, , 20, 2, 7
2018/1/16, 163, , 25, 8, 10
2018/1/17, 202, , 37, 14, 14
2018/1/18, 247, , 29, 19, 12
2018/1/19, 203, , 27, 6, 11
2018/1/20, 171, , 39, 8, 9
2018/1/21, 178, , 47, 11, 11
2018/1/22, 192, , 33, 7, 12
2018/1/23, 177, , 22, 4, 3
2018/1/24, 162, , 23, 3, 6
2018/1/25, 160, , 15, 3, 6
2018/1/26, 157, , 18, 2, 6
2018/1/27, 165, , 20, 4, 6
2018/1/28, 172, , 25, 5, 6
2018/1/29, 173, , 36, 6, 6
2018/1/30, 151, , 20, 2, 7
2018/1/31, 157, , 32, 11, 9
2018/2/1, 160, , 23, 8, 7
2018/2/2, 153, , 21, 7, 7
2018/2/3, 159, , 21, 5, 7
2018/2/4, 157, , 29, 9, 9
2018/2/5, 168, , 24, 8, 10
2018/2/6, 170, , 24, 4, 6
2018/2/7, 166, , 28, 9, 7
2018/2/8, 188, , 28, 5, 8
2018/2/9, 245, , 34, 10, 13
2018/2/10, 254, , 28, 11, 10
2018/2/11, 223, , 11, 2, 4
2018/2/12, 151, , 18, 4, 10
2018/2/13, 180, , 12, 4, 28
2018/2/14, 140, , 35, 5, 7
2018/2/15, 148, , 21, 6, 6
2018/2/16, 172, , 23, 6, 7
2018/2/17, 157, , 21, 6, 7
2018/2/18, 148, , 33, 9, 12
2018/2/19, 195, , 27, 3, 13
2018/2/20, 178, , 39, 8, 20
2018/2/21, 141, , 29, 4, 9
2018/2/22, 130, , 26, 6, 17
2018/2/23, 282, , 27, 3, 9
2018/2/24, 209, , 15, 4, 6
2018/2/25, 176, , 10, 4, 7
2018/2/26, 135, , 16, 5, 7
2018/2/27, 146, , 18, 9, 10
2018/2/28, 188, , 18, 6, 9
2018/3/1, 167, , 23, 11, 16
2018/3/2, 203, , 15, 7, 8
2018/3/3, 144, , 14, 6, 8
2018/3/4, 152, , 15, 5, 10
2018/3/5, 135, , 17, 6, 6
2018/3/6, 145, , 39, 7, 9
2018/3/7, 144, , 33, 8, 13
2018/3/8, 175, , 31, 6, 18
2018/3/9, 165, , 19, 3, 7
2018/3/10, 138, , 21, 7, 7
2018/3/11, 140, , 22, 10, 8
2018/3/12, 144, , 24, 9, 10
2018/3/13, 167, , 25, 21, 8
2018/3/14, 184, , 19, 14, 8
2018/3/15, 183, , 12, 7, 11
2018/3/16, 183, , 8, 4, 5
2018/3/17, 137, , 4, 5, 5
2018/3/18, 136, , 18, 6, 5
2018/3/19, 143, , 36, 13, 11
2018/3/20, 182, , 24, 19, 7
2018/3/21, 191, , 17, 7, 10
2018/3/22, 141, , 15, 4, 7
2018/3/23, 136, , 18, 7, 4
2018/3/24, 157, , 18, 7, 6
2018/3/25, 173, , 22, 8, 7
2018/3/26, 170, , 31, 11, 23
2018/3/27, 169, , 57, 10, 6
2018/3/28, 172, , 21, 4, 3
2018/3/29, 169, , 25, 6, 4
2018/3/30, 171, , 21, 8, 4
2018/3/31, 187, , 20, 5, 3
2017/10/1, 158, , 21, 8, 5
2017/10/2, 140, , 20, 10, 5
2017/10/3, 161, , 23, 9, 20
2017/10/4, 236, , 19, 17, 4
2017/10/5, 179, , 22, 11, 4
2017/10/6, 157, , 20, 20, 6
2017/10/7, 151, , 21, 14, 9
2017/10/8, 165, , 27, 7, 9
2017/10/9, 150, , 28, 3, 10
2017/10/10, 159, , 21, 8, 12
2017/10/11, 189, , 27, 9, 9
2017/10/12, 201, , 26, 6, 12
2017/10/13, 182, , 31, 8, 17
2017/10/14, 187, , 25, 6, 12
2017/10/15, 195, , 29, 7, 15
2017/10/16, 201, , 25, 8, 11
2017/10/17, 176, , 26, 4, 11
2017/10/18, 185, , 23, 8, 13
2017/10/19, 184, , 25, 17, 15
2017/10/20, 243, , 26, 12, 10
2017/10/21, 210, , 28, 10, 12
2017/10/22, 179, , 30, 8, 13
2017/10/23, 173, , 31, 6, 12
2017/10/24, 178, , 44, 6, 13
2017/10/25, 193, , 51, 13, 14
2017/10/26, 209, , 41, 6, 7
2017/10/27, 191, , 37, 6, 8
2017/10/28, 175, , 36, 8, 7
2017/10/29, 163, , 34, 4, 8
2017/10/30, 148, , 42, 4, 11
2017/10/31, 136, , 28, 3, 4
2017/11/1, 139, , 22, 3, 6
2017/11/2, 133, , 21, 5, 8
2017/11/3, 165, , 25, 5, 9
2017/11/4, 210, , 30, 8, 12
2017/11/5, 178, , 30, 8, 14
2017/11/6, 237, , 34, 5, 14
2017/11/7, 383, , 37, 11, 25
2017/11/8, 387, , 37, 10, 16
2017/11/9, 338, , 30, 11, 20
2017/11/10, 327, , 35, 11, 15
2017/11/11, 361, , 30, 5, 18
2017/11/12, 340, , 31, 5, 16
2017/11/13, 214, , 31, 5, 15
2017/11/14, 187, , 34, 7, 11
2017/11/15, 194, , 24, 5, 9
2017/11/16, 233, , 24, 3, 7
2017/11/17, 203, , 25, 5, 6
2017/11/18, 186, , 24, 4, 6
2017/11/19, 185, , 25, 5, 6
2017/11/20, 205, , 35, 8, 7
2017/11/21, 195, , 36, 11, 
2017/11/22, 181, , 37, 8, 5
2017/11/23, 204, , 47, 6, 10
2017/11/24, 215, , 42, 5, 18
2017/11/25, 205, , 44, 8, 15
2017/11/26, 237, , 40, 5, 11
2017/11/27, 190, , 42, 5, 15
2017/11/28, 185, , 56, 8, 23
2017/11/29, 225, , 38, 5, 19
2017/11/30, 234, , 41, 9, 14
2017/12/1, 196, , 55, 16, 27
2017/12/2, 246, , 56, 15, 20
2017/12/3, 223, , 59, 19, 31
2017/12/4, 245, , 50, 11, 14
2017/12/5, 208, , 26, 3, 13
2017/12/6, 164, , 25, 4, 5
2017/12/7, 143, , 29, 7, 13
2017/12/8, 167, , 33, 10, 13
2017/12/9, 191, , 23, 13, 17
2017/12/10, 199, , 36, 15, 21
2017/12/11, 192, , 22, 1, 8
2017/12/12, 143, , 22, 3, 6
2017/12/13, 165, , 11, 3, 6
2017/12/14, 164, , 12, 2, 6
2017/12/15, 162, , 17, 1, 6
2017/12/16, 160, , 20, 3, 6
2017/12/17, 159, , 25, 5, 8
2017/12/18, 164, , 30, 7, 10
2017/12/19, 175, , 39, 12, 13
2017/12/20, 230, , 21, 10, 7
2017/12/21, 233, , 22, 5, 6
2017/12/22, 137, , 22, 4, 7
2017/12/23, 157, , 57, 13, 19
2017/12/24, 194, , 28, 13, 10
2017/12/25, 201, , 31, 9, 10
2017/12/26, 190, , 34, 10, 12
2017/12/27, 190, , 27, 15, 10
2017/12/28, 193, , 20, 3, 10
2017/12/29, 194, , 24, 9, 12
2017/12/30, 213, , 23, 10, 23
2017/7/1, 142, , 4, 7, 2
2017/7/2, 117, , 5, 8, 7
2017/7/3, 121, , 5, 3, 2
2017/7/4, 148, , 6, , 86
2017/7/6, 146, , 9, 4, 3
2017/7/7, 99, , 10, 6, 3
2017/7/8, 117, , 12, 6, 5
2017/7/9, 129, , 10, 7, 3
2017/7/10, 80, , 14, 4, 4
2017/7/11, 61, , 14, 7, 2
2017/7/12, 52, , 11, 9, 2
2017/7/13, 52, , 11, 33, 3
2017/7/14, 71, , , , 
2017/7/16, 82, , 11, 7, 4
2017/7/17, 105, , 13, 14, 6
2017/7/18, 70, , 14, 5, 4
2017/7/19, 91, , 12, 5, 5
2017/7/20, 83, , 6, 7, 3
2017/7/21, 116, , 23, 9, 4
2017/7/22, 123, , 18, 7, 5
2017/7/23, 149, , 19, 6, 3
2017/7/24, 115, , 20, 6, 2
2017/7/25, 133, , 15, 6, 5
2017/7/26, 126, , 18, 6, 5
2017/7/27, 108, , 19, 6, 5
2017/7/28, 137, , 28, 6, 9
2017/7/29, 141, , , , 
2017/7/31, 139, , 22, 3, 6
2017/8/1, 131, , 39, 3, 5
2017/8/2, 113, , 24, 4, 5
2017/8/3, 130, , 27, 4, 4
2017/8/4, 137, , 31, 5, 5
2017/8/5, 137, , 36, 5, 4
2017/8/6, 161, , 36, 5, 4
2017/8/7, 162, , 31, 4, 
2017/8/8, 116, , 55, 5, 5
2017/8/9, 228, , 27, 5, 4
2017/8/10, 239, , 25, 3, 4
2017/8/11, 84, , 24, 6, 2
2017/8/12, 73, , 22, 3, 3
2017/8/13, 97, , 25, 4, 3
2017/8/14, 93, , 26, 4, 1
2017/8/15, 128, , 26, 6, 3
2017/8/16, 120, , 15, 7, 5
2017/8/17, 144, , 14, 9, 4
2017/8/18, 143, , 14, 8, 2
2017/8/19, 95, , 14, 11, 4
2017/8/20, 79, , 14, 7, 1
2017/8/21, 91, , 49, 3, 3
2017/8/22, 120, , 60, 7, 5
2017/8/23, 112, , 10, 8, 6
2017/8/24, 130, , 28, 8, 5
2017/8/25, 130, , 9, 19, 4
2017/8/26, 96, , , , 
2017/8/28, 146, , 6, 6, 4
2017/8/29, 112, , 18, 9, 5
2017/8/30, 126, , , , 
2017/9/1, 111, , 7, 2, 4
2017/9/2, 95, , 7, 2, 7
2017/9/3, 134, , 7, 2, 5
2017/9/4, 152, , 7, 3, 6
2017/9/5, 133, , 7, 2, 5
2017/9/6, 147, , , , 
2017/9/11, 165, , 8, 4, 4
2017/9/12, 167, , 8, 4, 5
2017/9/13, 160, , 8, 4, 5
2017/9/14, 172, , 8, 6, 6
2017/9/15, 166, , 8, 7, 6
2017/9/16, 171, , 8, 4, 7
2017/9/17, 154, , 9, 4, 7
2017/9/18, 160, , 14, 7, 6
2017/9/19, 150, , 10, 6, 8
2017/9/20, 168, , 15, 3, 8
2017/9/21, 144, , 15, 3, 7
2017/9/22, 95, , 14, 2, 8
2017/9/23, 111, , 15, 3, 7
2017/9/24, 118, , 21, 4, 9
2017/9/25, 151, , 24, 3, 8
2017/9/26, 164, , 26, 4, 10
2017/9/27, 168, , 30, 11, 9
2017/9/28, 183, , 20, 9, 8
2017/9/29, 159, , 22, 10, 5
2017/9/30, 169, , 21, 7, 6
2017/4/1, 161, , 26, 12, 5
2017/4/2, 159, , 26, 16, 4
2017/4/3, 162, , 25, 17, 5
2017/4/4, 167, , 23, 12, 5
2017/4/5, 152, , 24, 10, 4
2017/4/6, 121, , 19, 21, 4
2017/4/7, 187, , 43, 5, 6
2017/4/8, 138, , 16, 7, 5
2017/4/9, 118, , 24, 5, 6
2017/4/10, 156, , 24, 6, 7
2017/4/11, 150, , 42, 8, 3
2017/4/12, 164, , 26, 20, 4
2017/4/13, 192, , 33, 27, 11
2017/4/14, 196, , 37, 18, 7
2017/4/15, 180, , 30, 19, 7
2017/4/16, 182, , 25, 17, 7
2017/4/17, 180, , 22, 13, 3
2017/4/18, 198, , 27, 13, 7
